indexNCT04502056重复_由于各措施对应结局,nctid,outcome_description,participate_group_num,outcome_group_num,group_info,outcome_check,standard_outcome_check,checker_before,Time_Frame,conceptId,conceptName,domainId,outcome_id
478,NCT04327388,Time-to-improvement in Oxygenation,O1:159|O2:173|O3:84,O1:6.0|O2:6.0|O3:7.0,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,improvement,Improvement,"['Oxygen', 'improvement', 'Improvement']",Time Frame: 4 week ,19025274|4308350,oxygen|Improvement of status,Drug|Observation,outcome_376
479,NCT04327388,Percentage of Participants Alive Off Supplemental Oxygen at Day 29,O1:159|O2:173|O3:84,O1:84.9|O2:83.8|O3:86.9,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Oxygen,Oxygen,"['Oxygen', 'Alive']",Time Frame: 28 days after randomization ,36310094,No supplemental oxygen,Meas Value,outcome_328
480,NCT04327388,Percentage of Days With Hypoxemia,O1:159|O2:173|O3:84,O1:73.01|O2:75.10|O3:76.32,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Hypoxemia ,Hypoxemia ,['Hypoxemia'],"Time Frame: By Visit 3, approximately 10 days ",437390,Hypoxemia,Condition,outcome_377
481,NCT04327388,Percentage of Days With Supplemental Oxygen Use,O1:159|O2:173|O3:84,O1:70.57|O2:73.30|O3:73.23,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Oxygen Use,Oxygen,"['Oxygen', 'Oxygen Use']",Time Frame: 28 days after randomization ,36304401,Use of supplemental oxygen,Observation,outcome_378
482,NCT04327388,Percentage of Days With Resting Respiratory Rate > 24 Breaths Per Minute,O1:150|O2:164|O3:78,O1:14.74|O2:14.58|O3:15.74,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Respiratory Rate,Respiratory Rate,['Respiratory Rate'],Time Frame: Baseline to Day 29 ,4193574,Respiratory percentage,Measurement,outcome_379
483,NCT04327388,Time to Oxygen Saturation >= 94% on Room Air,O1:159|O2:173|O3:84,O1:8.0|O2:8.0|O3:8.0,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Oxygen,Oxygen,"['Oxygen', 'Oxygen Saturation']",Time Frame: 28 days after randomization ,36685445,Arterial oxygen saturation on room air at rest,Measurement,outcome_380
484,NCT04327388,Mean Number of Ventilator Free Days,O1:159|O2:173|O3:84,O1:23.8|O2:24.0|O3:24.9,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Ventilator Free,Ventilator Free,['Ventilator Free'],Time Frame: Pre-SSI only ,44786857,Days on ventilator,Measurement,outcome_381
485,NCT04327388,"Percentage of Participants With Initiation of Mechanical Ventilation, Non-invasive Ventilation, or Use of High Flow Nasal Cannula",O1:127|O2:141|O3:68,O1:20.5|O2:23.4|O3:19.1,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Mechanical Ventilation,Mechanical Ventilation,"['mechanical Ventilation', 'Mechanical Ventilation']","Time Frame: Baseline, Days 3, 5, 8, 11, 15, and 29 ",4177224,Noninvasive ventilation,Procedure,outcome_382
486,NCT04327388,Percentage of Participants Who Required Rescue Medication,O1:159|O2:173|O3:84,O1:13.8|O2:15.0|O3:22.6,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Rescue Medication ,Rescue Medication ,['Rescue Medication'],Time Frame: Baseline to Day 29 ,42535850,Has supply of rescue medication,Observation,outcome_383
487,NCT04327388,Percentage of Participants Who Needed Intensive Care Unit (ICU) Care During Study,O1:98|O2:114|O3:56,O1:11.2|O2:14.9|O3:12.5,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Intensive Care,Intensive Care,"['Intensive Care', 'ICU']",Time Frame: Assessed for up to 28 days ,36311219,Intensive care unit (ICU),Meas Value,outcome_384
488,NCT04327388,Number of Days of Hospitalization Among Survivors (Alive Participants),O1:142|O2:155|O3:75,O1:15.6|O2:16.1|O3:15.9,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Hospitalization,Hospitalization,"['Hospitalization', 'Alive', 'hospitalization', 'Hospital']",Time Frame: Day 1 through Day 29 ,46236995,Hospital stay duration,Observation,outcome_22
489,NCT04327388,Number of Participants With Treatment-emergent Serious Adverse Events (SAEs),O1:159|O2:173|O3:84,O1:42|O2:51|O3:20,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Adverse Events,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: At the first day of the study ,45884383,Adverse event,Meas Value,outcome_12
490,NCT04327388,Number of Participants With Major or Opportunistic Bacterial or Fungal Infections,O1:159|O2:173|O3:84,O1:8|O2:15|O3:3,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Infect,Infect,['Infect'],"Time Frame: Baseline, Minutes 5, 10, 15, 30 (15 minutes after treatment ends) ",45885195,Infection,Meas Value,outcome_385
491,NCT04327388,Number of Participants With Grade 4 Neutropenia and Grade 4 Neutropenia With Concurrent Invasive Infection,O1:159|O2:173|O3:84|O1:159|O2:173|O3:84|O1:3|O2:6|O3:0,O1:3|O2:6|O3:0|O1:0|O2:0,Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Infect,Infect,['Infect'],"Time Frame: Baseline, Minutes 5, 10, 15, 30 (15 minutes after treatment ends) ",320073,Neutropenia,Condition,outcome_386
492,NCT04327388,"Number of Participants With Grade >=2 Infusion Reactions, Grade >=2 Hypersensitivity Reactions and Gastrointestinal Perforation",O1:159|O2:173|O3:84,O1:1|O2:6|O3:0|O1:1|O2:7|O3:0|O1:1|O2:0|O3:0,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Gastrointestinal Perforation ,Gastrointestinal Perforation ,['Gastrointestinal Perforation'],"Time Frame: Baseline, Minutes 5, 10, 15, 30 (15 minutes after treatment ends) ",42536536,Gastrointestinal hypersensitivity caused by food,Condition,outcome_387
493,NCT04327388,"Number of Participants With Potentially Clinically Significant Laboratory Abnormalities (PCSA): Hematological Parameter - Hemoglobin, Leukocytes and Platelets",O1:156|O2:170|O3:84,O1:29|O2:34|O3:15|O1:0|O2:0|O3:0|O1:32|O2:30|O3:15|O1:19|O2:31|O3:1|O1:13|O2:21|O3:6|O1:2|O2:7|O3:3|O1:3|O2:2|O3:2,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Hemoglobin,Hemoglobin,"['Platelets', 'Platelet', 'Hemoglobin']",Time Frame: Day 1 through Day 14 ,45878745,Abnormal,Meas Value,outcome_388
494,NCT04327388,Number of Participants With Potentially Clinically Significant Laboratory Abnormalities: Renal Function Parameters,O1:156|O2:170|O3:84,O1:15|O2:15|O3:5|O1:31|O2:30|O3:10|O1:6|O2:7|O3:3,Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Renal Function Parameters ,Renal Function Parameters ,['Renal Function Parameters'],Time Frame: Baseline to Day 29 ,40282772,Renal function,Observation,outcome_389
495,NCT04327388,Number of Participants With Potentially Clinically Significant Laboratory Abnormalities: Liver Function Parameters,O1:156|O2:169|O3:84|O1:156|O2:168|O3:83|O1:156|O2:168|O3:83|O1:156|O2:168|O3:83|O1:156|O2:168|O3:83|O1:156|O2:169|O3:84|O1:156|O2:169|O3:84,O1:60|O2:63|O3:24|O1:28|O2:25|O3:12|O1:6|O2:5|O3:3|O1:1|O2:0|O3:0|O1:5|O2:4|O3:4|O1:4|O2:2|O3:2,Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo|Sarilumab 200 mg|Sarilumab 400 mg|Placebo,Liver Function Parameters,Liver Function Parameters,['Liver Function Parameters'],Require Mechanical Ventilation,438878,Liver function tests abnormal,Condition,outcome_390
496,NCT04322396,Number of Days Alive and Discharged From Hospital Within 14 Days,O1:56|O2:61,O1:9|O2:9,Control|Intervention,discharge,Discharge,"['discharge', 'Discharge', 'Alive', 'Hospital']",NA,4084843,Discharged from hospital,Observation,outcome_391
497,NCT04322396,Categorization of Hospitalization Status,O1:56|O2:61,O1:2|O2:1|O1:1|O2:3|O1:0|O2:1|O1:2|O2:2|O1:2|O2:1|O1:0|O2:1|O1:27|O2:26|O1:22|O2:26,Control|Intervention,Hospitalization,Hospitalization,"['Hospitalization', 'hospitalization', 'Hospital']",NA,45884746,Hospitalization,Meas Value,outcome_143
498,NCT04322396,Length of Stay in ICU,O1:56|O2:61,O1:11|O2:14,Control|Intervention,ICU,ICU,"['Length of Stay', 'ICU']",NA,44786856,Days in intensive care unit,Observation,outcome_181
499,NCT04322396,Number of Participants on Non-invasive Ventilation (NIV) During Hospitalization,O1:56|O2:61,O1:1|O2:3,Control|Intervention,Non-invasive Ventilation (NIV) ,NIV,"['Hospitalization', 'hospitalization', 'Hospital']",NA,4177224,Noninvasive ventilation,Procedure,outcome_392
500,NCT04322396,Mortality,O1:56|O2:61,O1:2|O2:1,Control|Intervention,Mortality,Death ,['Mortality'],NA,4249566,Mortality rate,Observation,outcome_137
501,NCT04322396,Length of Hospitalization,O1:56|O2:61,O1:4|O2:4,Control|Intervention,Hospitalization,Hospitalization,"['Hospitalization', 'hospitalization', 'Hospital']",NA,46236995,Hospital stay duration,Observation,outcome_300
502,NCT04322396,Days Alive and Discharged From Hospital,O1:56|O2:61,O1:26|O2:26,Control|Intervention,discharge,Discharge,"['discharge', 'Discharge', 'Alive', 'Hospital']",NA,4084843,Discharged from hospital,Observation,outcome_391
503,NCT04322396,Number of Readmissions (All Causes),O1:56|O2:61,O1:6|O2:9,Control|Intervention,Readmissions,Readmissions,[],NA,36210471,Readmission,Meas Value,outcome_393
504,NCT04322396,Number of Days Using Non-invasive Ventilation (NIV),O1:1|O2:3,O1:9.0|O2:6.7,Control|Intervention,Non-invasive Ventilation (NIV),NIV,[],NA,4177224,Noninvasive ventilation,Procedure,outcome_392
505,NCT04322396,Change in Patient's Oxygen Partial Pressure,O1:56|O2:61,O1:-0.2|O2:-3.0,Control|Intervention,Oxygen,Oxygen,['Oxygen'],NA,3013702,Oxygen [Partial pressure] adjusted to patient's actual temperature in Blood,Measurement,outcome_394
506,NCT04322396,Change in Patient's Carbondioxide Partial Pressure,O1:56|O2:61,O1:1.4|O2:-3.0,Control|Intervention,Pressure,Pressure,[],NA,3033203,Carbon dioxide [Partial pressure] adjusted to patient's actual temperature in Blood,Measurement,outcome_395
507,NCT04322396,Change of pH in Blood,O1:56|O2:61,O1:0.0|O2:0.0,Control|Intervention,PH,PH,[],NA,3010421,pH of Blood,Measurement,outcome_396
508,NCT04322396,"Time for no Oxygen Supplement (or Regular Oxygen Supplement ""LTOT"")",O1:27|O2:25,O1:72|O2:72,Control|Intervention,Oxygen,Oxygen,['Oxygen'],NA,36310094,No supplemental oxygen,Meas Value,outcome_397
509,NCT04308668,Number of Participants With Active COVID-19 Disease at Day 14 Among Those Who Were Asymptomatic at Baseline,O1:414|O2:407,O1:49|O2:58,Treatment|Placebo,Active COVID-19 Disease at Day 14,Active COVID-19 Disease at Day 15,"['Active COVID-19 Disease at Day 14', 'Symptom']",Time Frame: Treatment period of 7 days (Day 1 to Day 8) ,3662381,Asymptomatic SARS-CoV-2,Condition,outcome_398
510,NCT04308668,Change in Disease Severity Over 14 Days Among Those Who Are Symptomatic at Baseline,O1:212|O2:211,O1:-2.6|O2:-2.33,Treatment|Placebo,Disease Severity,Disease Severity,"['Symptom', 'Disease Severity']",Time Frame: Day 1 through Day 29 ,45877040,Symptomatic,Meas Value,outcome_399
511,NCT04308668,Rate of Hospitalization,O1:645|O2:641,O1:5|O2:9,Treatment|Placebo,Hospitalization,Hospitalization,"['Hospitalization', 'hospitalization', 'Hospital']",Time Frame: Day 1 through Day 29 ,45884746,Hospitalization,Meas Value,outcome_400
512,NCT04308668,Rate of Death,O1:645|O2:641,O1:1|O2:1,Treatment|Placebo,Death ,Death ,['Death'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",4249566,Mortality rate,Observation,outcome_401
513,NCT04308668,Rate of Confirmed SARS-CoV-2 Detection,O1:414|O2:407,O1:11|O2:9,Treatment|Placebo,Detection ,Detection ,['Detection'],"Time Frame: Days 1, 3, 5, 8, 11, 15, 22, and 29 ",3655885,SARS-CoV-2 IgM,Observation,outcome_402
514,NCT04308668,Occurrence of Symptoms Compatible With COVID-19 (Possible Disease),O1:414|O2:407,O1:48|O2:55,Treatment|Placebo,Occurrence of Symptoms,Symptoms,"['Symptom', 'Occurrence of Symptoms']","Time Frame: Day 7, Day 14, Day 21 & Day 30 ",1333343,COVID-19 Related Symptoms,Observation,outcome_403
515,NCT04308668,Rate of All-Cause Study Medicine Discontinuation or Withdrawal,O1:645|O2:641,O1:97|O2:63,Treatment|Placebo,Medicine Discontinuation,Medicine Discontinuation,['Medicine Discontinuation'],"Time Frame: from date of patient admission to date of patient discharge or date of death, whichever came first, assessed up to 60 days ",4164526,Medication discontinued,Observation,outcome_404
516,NCT04308668,Overall Symptom Severity at 5 and 14 Days,O1:212|O2:211,O1:-2.22|O2:-2.05|O1:-3.36|O2:-3.08,Treatment|Placebo,Symptom Severity,Symptom,"['Symptom Severity', 'Symptom']",Time Frame: 14 days ,4037113,Symptom severity,Observation,outcome_405
517,NCT04308668,Number of Participants With Severe COVID-19 Disease at 14 Days Among Those Who Are Symptomatic at Trial Entry,O1:231|O2:234,O1:5|O2:8,Treatment|Placebo,Severe COVID-19 Disease at 14 Days,COVID-19,"['Symptom', 'Severe COVID-19 Disease at 14 Days']",Time Frame: 7 days ,37311061,COVID-19,Condition,outcome_406
518,NCT04340557,Mechanical Ventilation,O1:16|O2:15,O1:1|O2:1,Group A (Study Drug+SOC)|Group B (SOC),Mechanical Ventilation,Mechanical Ventilation,"['mechanical Ventilation', 'Mechanical Ventilation']","Time Frame: Day 15, Day 29 ",4230167,Artificial respiration,Procedure,outcome_407
519,NCT04340557,ICU Transfer,O1:16|O2:15,O1:1|O2:2,Group A (Study Drug+SOC)|Group B (SOC),ICU,ICU,['ICU'],Time Frame: 28 days ,4265599,Patient transfer to intensive care unit,Observation,outcome_408
520,NCT04340557,Oxygen Therapy,O1:16|O2:15,"O1:10,469|O2:82,734",Group A (Study Drug+SOC)|Group B (SOC),Oxygen,Oxygen,"['Oxygen', 'Oxygen Therapy']",Time Frame: 28 days after randomization ,36311244,Oxygen therapy,Meas Value,outcome_253
521,NCT04392219,Part 1: Number of Participants With Treatment Emergent Adverse Events and Severity of Treatment Emergent Adverse Events,O1:16|O2:6|O3:6|O4:6|O5:6|O6:6|O7:6|O8:6|O9:6,O1:7|O2:2|O3:0|O4:3|O5:3|O6:4|O7:2|O8:1|O9:2|O1:7|O2:2|O3:0|O4:3|O5:3|O6:4|O7:2|O8:1|O9:2|O1:1|O2:0|O3:0|O4:0|O5:1|O6:0|O7:0|O8:0|O9:0|O1:0|O2:0|O3:0|O4:0|O5:0|O6:0|O7:0|O8:0|O9:0,Part 1 - Placebo|Part 1 - 50 mg EIDD-2801|Part 1 - 100 mg EIDD-2801|Part 1 - 200 mg EIDD-2801|Part 1 - 400 mg EIDD-2801|Part 1 - 600 mg EIDD-2801|Part 1 - 800 mg EIDD-2801|Part 1 - 1200 mg EIDD-2801|Part 1 - 1600 mg EIDD-2801,Adverse,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",NA,45884383,Adverse event,Meas Value,outcome_199
522,NCT04392219,Part 3: Number of Participants With Treatment Emergent Adverse Events and Severity of Treatment Emergent Adverse Events,O1:14|O2:6|O3:6|O4:6|O5:6|O6:6|O7:6|O8:6,O1:7|O2:2|O3:3|O4:3|O5:2|O6:3|O7:2|O8:3|O1:7|O2:2|O3:3|O4:3|O5:2|O6:3|O7:2|O8:3|O1:0|O2:0|O3:0|O4:1|O5:0|O6:0|O7:0|O8:0|O1:0|O2:0|O3:0|O4:0|O5:0|O6:0|O7:0|O8:0,Part 3 - Placebo|Part 3 - 50 mg EIDD-2801|Part 3 - 100 mg EIDD-2801|Part 3 - 200 mg EIDD-2801|Part 3 - 300 mg EIDD-2801|Part 3 - 400 mg EIDD-2801|Part 3 - 600 mg EIDD-2801|Part 3 - 800 mg EIDD-2801,Adverse,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",NA,45884383,Adverse event,Meas Value,outcome_199
523,NCT04634903,Change in Adolescent Depressive Symptom Severity,O1:818|O2:821|O3:813,O1:14.31|O2:14.15|O3:14.22|O1:12.57|O2:11.47|O3:11.58,Supportive Therapy SSI (ST-SSI)|Behavioral Activation SSI (BA-SSI)|Growth Mindset SSI (GM-SSI),Depressive,Depressive,"['Symptom Severity', 'Depressive', 'Symptom']","Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",4037113,Symptom severity,Observation,outcome_409
524,NCT04634903,Change in State Hope Scale - Pathways Subscale,O1:818|O2:821|O3:813,O1:3.88|O2:3.93|O3:3.96|O1:5.26|O2:5.68|O3:5.50|O1:4.89|O2:5.06|O3:5.17,Supportive Therapy SSI (ST-SSI)|Behavioral Activation SSI (BA-SSI)|Growth Mindset SSI (GM-SSI),State Hope Scale - Pathways Subscale ,Scale,['State Hope Scale - Pathways Subscale'],Time Frame: Days 1 - 29. ,4085051|4080388,Level of hope|Scale - rank,Observation|Observation,outcome_410
525,NCT04634903,Change in Beck Hopelessness Scale - 4 Item Version,O1:818|O2:821|O3:813,O1:1.71|O2:1.72|O3:1.72|O1:1.36|O2:1.22|O3:1.21|O1:1.51|O2:1.37|O3:1.39,Supportive Therapy SSI (ST-SSI)|Behavioral Activation SSI (BA-SSI)|Growth Mindset SSI (GM-SSI),Beck Hopelessness Scale - 4 Item Version ,Beck Hopelessness Scale - 5 Item Version,['Beck Hopelessness Scale - 4 Item Version'],Time Frame: At the end of 10th day ,4128243,Beck hopelessness scale,Measurement,outcome_411
526,NCT04634903,Program Feedback Scale,O1:630|O2:729|O3:653,O1:3.80|O2:3.93|O3:3.83|O1:4.54|O2:4.46|O3:4.48|O1:4.46|O2:4.42|O3:4.48|O1:4.45|O2:4.42|O3:4.45|O1:3.97|O2:4.12|O3:3.93|O1:4.24|O2:4.30|O3:4.20|O1:4.50|O2:4.54|O3:4.47,Supportive Therapy SSI (ST-SSI)|Behavioral Activation SSI (BA-SSI)|Growth Mindset SSI (GM-SSI),Program Feedback Scale ,Scale,['Program Feedback Scale'],Time Frame: 14 days ,36662336,Feedback system,Meas Value,outcome_412
527,NCT04160975,Rating of Sender,O1:832|O2:430|O3:827|O4:845,O1:.1828917|O2:-.0750636|O3:.0997998|O4:-.5397662,Concordant (Arm A) vs. Discordant Expert Sender (Arm B) - Black Participants|Concordant (Arm A) vs. Discordant Expert Sender (Arm B) - White Participants|Acknowledgement (Arm A) vs. Standard Signal (Arm B) - Black Participants|Layperson Sender (Arm A) vs. Expert Sender (Arm B) - Black Participants,Sender,Sender,[],NA,42050594,Send,Geography,outcome_413
528,NCT04160975,Rating of Signal,O1:832|O2:1221|O3:827|O4:845,O1:.1387205|O2:-.0088105|O3:.1423725|O4:-.0806321,Concordant (Arm A) vs. Discordant Expert Sender (Arm B) - Black Participants|Concordant (Arm A) vs. Discordant Expert Sender (Arm B) - White Participants|Acknowledgement (Arm A) vs. Standard Signal (Arm B) - Black Participants|Layperson Sender (Arm A) vs. Expert Sender (Arm B) - Black Participants,Signal,Signal,[],NA,4217210,Sign,Condition,outcome_414
529,NCT04160975,Signal Content Recall,O1:832|O2:1221|O3:827|O4:845,O1:-.0062555|O2:.0193832|O3:.0041984|O4:.1166304,Concordant (Arm A) vs. Discordant Expert Sender (Arm B) - Black Participants|Concordant (Arm A) vs. Discordant Expert Sender (Arm B) - White Participants|Acknowledgement (Arm A) vs. Standard Signal (Arm B) - Black Participants|Layperson Sender (Arm A) vs. Expert Sender (Arm B) - Black Participants,Signal,Signal,[],NA,4217210,Sign,Condition,outcome_414
530,NCT04160975,Safety Beliefs,O1:832|O2:1221|O3:827|O4:845,O1:-.0979564|O2:-.027714|O3:-.1065867|O4:-.0242752,Concordant (Arm A) vs. Discordant Expert Sender (Arm B) - Black Participants|Concordant (Arm A) vs. Discordant Expert Sender (Arm B) - White Participants|Acknowledgement (Arm A) vs. Standard Signal (Arm B) - Black Participants|Layperson Sender (Arm A) vs. Expert Sender (Arm B) - Black Participants,Safety,Safety,[],NA,45880179,Safety,Meas Value,outcome_415
531,NCT04160975,Coupon Interest,O1:832|O2:1221|O3:827|O4:845,O1:-.0078177|O2:-.0827849|O3:.0280955|O4:-.0162865,Concordant (Arm A) vs. Discordant Expert Sender (Arm B) - Black Participants|Concordant (Arm A) vs. Discordant Expert Sender (Arm B) - White Participants|Acknowledgement (Arm A) vs. Standard Signal (Arm B) - Black Participants|Layperson Sender (Arm A) vs. Expert Sender (Arm B) - Black Participants,Coupon Interest,Coupon Interest,[],NA,45877292,Interested,Meas Value,outcome_416
532,NCT04160975,(Posterior) Flu Vaccine Intent,O1:832|O2:1221|O3:827|O4:845,O1:.0263281|O2:.0034755|O3:.0268659|O4:.0187403,Concordant (Arm A) vs. Discordant Expert Sender (Arm B) - Black Participants|Concordant (Arm A) vs. Discordant Expert Sender (Arm B) - White Participants|Acknowledgement (Arm A) vs. Standard Signal (Arm B) - Black Participants|Layperson Sender (Arm A) vs. Expert Sender (Arm B) - Black Participants,Vaccine,Vaccine,[],NA,40761232,Date of influenza vaccination,Observation,outcome_417
533,NCT04160975,COVID-19 Vaccine Intent,O1:587|O2:866|O3:581|O4:592,O1:.0350147|O2:.009072|O3:.0544277|O4:.0881949,Concordant (Arm A) vs. Discordant Expert Sender (Arm B) - Black Participants|Concordant (Arm A) vs. Discordant Expert Sender (Arm B) - White Participants|Acknowledgement (Arm A) vs. Standard Signal (Arm B) - Black Participants|Layperson Sender (Arm A) vs. Expert Sender (Arm B) - Black Participants,Vaccine,Vaccine,[],NA,1616924,Accepted or will accept COVID-19 vaccination once offered,Observation,outcome_418
